E	I
   6.0	 0.174 
  42.3	 0.248 
  42.9	 0.443 
  48.5	 0.0448 
  48.6	 0.0867 
  49.9	 0.0290 
 172.1	 4.3E-4 
 174.8	 0.00138 
 192.6	 0.00681 
 195.2	 0.00205 
 209.3	 1.70E-4 
 209.4	 0.0012 
 271.0	 0.0715 
 287.1	 8.1E-4 
 315.1	 0.0399 
 324.8	 0.0681 
 324.9	 0.00497 
 328.7	 0.00346 
 344.2	26.59 
 351.6	 0.0106 
 354.1	 9.6E-4 
 367.7	 0.859 
 387.9	 0.0029 
 411.1	 2.237 
 440.8	 0.0062 
 482.4	 0.00234 
 493.7	 0.0098 
 496.4	 0.00588 
 503.4	 0.1524 
 520.2	 0.0534 
 526.8	 0.0120 
 534.2	 0.0410 
 557.8	 0.0029 
 563.1	 3.00E-4 
 586.2	 0.455 
 675.0	 0.0213 
 678.6	 0.473 
 703.0	 0.0039 
 703.5	 0.0027 
 712.8	 0.0955 
 764.8	 0.189 
 778.9	 12.93 
 794.7	 0.0263 
 850.1	 7.7E-4 
 930.5	 0.0729 
 937.0	 0.0027 
 970.2	 0.0012 
 974.0	 0.0136 
 990.1	 0.0314 
1089.7	 1.734 
1109.1	 0.189 
1206.0	 0.0130 
1261.3	 0.0335 
1299.1	 1.633 
1314.6	 0.0019 
1318.3	 0.00157 
1348.1	 0.0173 
1605.6	 0.0079 
   5.6	14.0 
  39.5	21.0 
  40.1	37.7 
  45.2	 3.75 
  45.4	 7.26 
  46.5	 2.40 
 118.9	 5.3E-4 
 121.7	28.53 
 125.6	 0.00513 
 137.5	 7.4E-4 
 148.0	 0.0205 
 150.1	 9.0E-4 
 207.0	 0.00114 
 207.6	 0.0073 
 209.9	 0.0043 
 210.9	 0.00380 
 212.4	 0.0207 
 237.1	 0.00633 
 239.3	 0.003 
 241 	 1.9E-4 
 244.6	 7.55 
 251.6	 0.0670 
 269.8	 0.0078 
 272.4	 6.4E-4 
 275.4	 0.0346 
 285.9	 0.0098 
 286.5	 0.0014 
 295.9	 0.440 
 316.1	 0.0101 
 320.1	 0.00205 
 329.4	 0.1213 
 330.5	 0.0093 
 340.4	 0.0266 
 345.5	 0.0098 
 348.7	 0.00170 
 357.2	 0.0061 
 358.4	 0.00165 
 378.1	 2.4E-4 
 385.6	 0.00556 
 391.1	 0.00141 
 397.7	 3.7E-4 
 401.2	 6.4E-4 
 416.0	 0.1088 
 423.4	 0.00298 
 443.9	 2.827 
 444.0	 0.298 
 464.2	 4.5E-4 
 476.4	 0.0017 
 482.3	 0.0247 
 488.6	 0.414 
 493.5	 0.0303 
 496.5	 0.0058 
 511.0	 0.051 
 514.7	 4.3E-4 
 523.1	 0.0153 
 527.1	 9E-5 
 535.4	 0.00173 
 538.2	 0.0043 
 556.4	 0.0177 
 561.2	 0.00141 
 562.9	 0.0202 
 563.9	 0.494 
 566.4	 0.131 
 571.8	 0.00444 
 588.6	 0.0024 
 589.8	 0.00130 
 608.0	 2.7E-4 
 609.2	 0.00122 
 616.0	 0.0092 
 644.3	 0.0066 
 656.4	 0.1441 
 664.7	 0.0099 
 671.1	 0.024 
 674.6	 0.169 
 683.2	 0.0047 
 686.6	 0.0203 
 688.6	 0.856 
 707.1	 0.00142 
 719.3	 0.250 
 719.3	 0.095 
 728.0	 0.0111 
 734.1	 9.0E-4 
 735.4	 0.00441 
 756.1	 0.0044 
 766.3	 6.9E-4 
 768.9	 0.082 
 802.0	 4.1E-4 
 805.7	 0.0152 
 810.4	 0.317 
 813.2	 0.0043 
 839.3	 0.0177 
 841.5	 0.168 
 855.2	 0.00197 
 867.3	 4.23 
 901.1	 0.0854 
 906.0	 0.0092 
 919.3	 0.419 
 919.7	 0.0065 
 926.3	 0.272 
 947.1	 0.00109 
 958.6	 0.0197 
 961.0	 0.0080 
 963.3	 0.140 
 964.0	14.51 
 968.6	 0.00792 
1005.2	 0.659 
1050.1	 7E-4 
1084.3	 0.0106 
1085.8	10.11 
1112.0	13.67 
1170.9	 0.0372 
1212.9	 1.415 
1246.3	 9.3E-4 
1249.9	 0.187 
1292.7	 0.101 
1315.5	 0.00364 
1363.7	 0.0258 
1390.5	 0.00425 
1408.0	20.87 
1455.1	 0.0025 
1457.6	 0.497 
1491.4	 6E-4 
1528.1	 0.279 
1608.3	 0.00540 
1635.3	 1.6E-4 
1647.4	 0.0073 
1769.0	 0.00931 
