#clu	cry	seg	phi	theta	rho
0	0	0	115.34	  34.99	254.44
0	0	1	107.38	 34.64	256.52
0	0	2	110.79	 38.70	253.32
0	0	3	112.06	 30.89	258.42
0	0	4	120.70	 31.54	257.18
0	0	5	118.07	 39.27	252.04
0	0	6	123.14	 35.86	253.98
0	1	0	112.76	 48.66	252.88
0	1	1	115.07	 52.88	254.73
0	1	2	118.83	 49.35	252.42
0	1	3	109.36	 52.37	256.00
0	1	4	106.66	 48.29	254.97
0	1	5	116.64	 44.99	251.39
0	1	6	110.10	 44.45	252.67
0	2	0	130.90	 44.54	254.01
0	2	1	136.05	 41.67	256.74
0	2	2	129.59	 40.02	253.80
0	2	3	136.78	 46.19	257.75
0	2	4	132.00	 49.04	255.84
0	2	5	124.55	 43.18	251.86
0	2	6	126.20	 47.67	252.90
1	0	0	 46.58	 44.07	257.46
1	0	1	 45.23	 48.47	259.36
1	0	2	 51.06	 47.29	255.89
1	0	3	 40.67	 45.51	261.70
1	0	4	 41.67	 41.10	260.63
1	0	5	 52.95	 42.92	254.80
1	0	6	 48.19	 39.65	257.19
1	1	0	 64.35	 48.68	254.60
1	1	1	 70.44	 48.51	256.14
1	1	2	 67.23	 44.59	254.32
1	1	3	 67.56	 52.48	257.22
1	1	4	 61.83	 52.81	256.50
1	1	5	 60.69	 44.94	253.59
1	1	6	 58.29	 49.18	254.69
1	2	0	 62.71	 35.08	256.84
1	2	1	 57.74	 31.53	260.01
1	2	2	 54.93	 35.73	256.92
1	2	3	 66.37	 31.11	260.73
1	2	4	 70.60	 34.94	258.37
1	2	5	 59.65	 39.24	254.54
1	2	6	 66.93	 38.87	255.27
2	0	0	164.14	 25.57	252.17
2	0	1	157.59	 29.06	254.18
2	0	2	166.64	 30.07	251.22
2	0	3	153.64	 24.86	255.93
2	0	4	160.73	 21.20	254.75
2	0	5	174.08	 27.04	250.02
2	0	6	172.58	 22.43	251.81
2	1	0	180.94	 36.53	251.36
2	1	1	187.39	 38.93	253.48
2	1	2	188.04	 34.34	250.99
2	1	3	181.07	 41.09	254.66
2	1	4	174.66	 39.08	253.37
2	1	5	180.78	 31.88	249.68
2	1	6	173.71	 34.51	250.88
2	2	0	196.86	 25.19	252.37
2	2	1	199.72	 20.76	254.96
2	2	2	187.91	 22.25	251.89
2	2	3	207.44	 24.24	256.25
2	2	4	203.87	 28.53	254.50
2	2	5	187.02	 26.88	250.11
2	2	6	194.79	 29.73	251.42
3	0	0	359.26	 37.47	255.28
3	0	1	  5.53	 39.79	257.20
3	0	2	  6.05	 35.29	254.57
3	0	3	359.46	 41.97	258.73
3	0	4	353.22	 39.97	257.60
3	0	5	359.01	 32.89	253.43
3	0	6	352.28	 35.51	254.98
3	1	0	 14.12	 26.19	255.32
3	1	1	 16.49	 21.76	257.68
3	1	2	  5.44	 23.39	255.00
3	1	3	 24.18	 25.13	258.77
3	1	4	 21.06	 29.39	257.25
