#SC	Crys	Seg	Phi	Theta	Rho
#Segment starts from 1.
0	0	1	-142.529	84.6564	293.645
0	0	2	-143.242	79.8132	290.884
0	0	3	-138.272	79.2029	289.662
0	0	4	-137.653	84.0908	291.17
0	1	1	-144.81	69.3831	293.842
0	1	2	-139.645	68.6265	291.157
0	1	3	-139	73.5167	289.736
0	1	4	-144.066	74.2235	291.169
0	2	1	-128.377	67.6119	294.229
0	2	2	-127.944	72.478	291.348
0	2	3	-133.078	72.8745	289.88
0	2	4	-133.626	67.9817	291.511
0	3	1	-127.136	82.9781	294.032
0	3	2	-132.019	83.4806	291.1
0	3	3	-132.492	78.5734	289.806
0	3	4	-127.5	78.1013	291.488
1	0	1	-31.1901	66.0693	295.298
1	0	2	-30.4848	70.8913	292.504
1	0	3	-35.6112	71.5379	290.831
1	0	4	-36.4425	66.6941	292.377
1	1	1	-29.1462	81.2946	295.343
1	1	2	-33.9893	82.0382	292.21
1	1	3	-34.7163	77.1801	290.847
1	1	4	-29.7487	76.4632	292.732
1	2	1	-44.4183	83.7677	294.295
1	2	2	-45.3969	78.9819	291.461
1	2	3	-40.462	78.1065	290.458
1	2	4	-39.5793	82.94	292.037
1	3	1	-47.5835	68.6702	294.251
1	3	2	-42.4473	67.6436	291.78
1	3	3	-41.5098	72.4818	290.442
1	3	4	-46.5433	73.4559	291.658
2	0	1	146.091	69.2541	281.339
2	0	2	145.368	74.3152	278.415
2	0	3	140.062	73.6229	277.049
2	0	4	140.683	68.5102	278.724
2	1	1	143.852	85.2246	281.341
2	1	2	138.763	84.6942	278.515
2	1	3	139.36	79.5757	277.05
2	1	4	144.547	80.1617	278.628
2	2	1	127.78	83.6295	281.606
2	2	2	128.095	78.5365	278.683
2	2	3	133.317	78.9761	277.148
2	2	4	132.879	84.1022	278.824
2	3	1	128.889	67.5624	281.603
2	3	2	134.379	67.8821	278.609
2	3	3	133.865	73.01	277.147
2	3	4	128.505	72.6545	278.894
3	0	1	27.4298	81.852	253.192
3	0	2	28.5006	76.2774	249.903
3	0	3	34.2481	77.5159	247.992
3	0	4	32.9954	83.1183	250.046
3	1	1	31.1131	64.2635	252.892
3	1	2	37.2467	65.3944	249.529
3	1	3	35.942	71.0198	248.274
3	1	4	29.9987	69.8566	250.34
3	2	1	50.0656	68.7275	252.334
3	2	2	48.3845	74.1956	249.227
3	2	3	42.6189	72.6022	247.671
3	2	4	44.2015	67.0474	249.536
3	3	1	44.949	86.0009	252.635
3	3	2	39.416	84.6527	249.629
3	3	3	40.8697	79.0861	247.783
3	3	4	46.5148	80.5292	249.55
