#SC	Crys	Seg	X	Y	Z
#Segment starts from 1.
0	0	1	-232.028	-177.882	27.3591
0	0	2	-229.36	-171.348	51.4571
0	0	3	-212.337	-189.398	54.2743
0	0	4	-214.038	-195.111	29.9889
0	1	1	-224.747	-158.507	103.477
0	1	2	-206.601	-175.576	106.12
0	1	3	-209.664	-182.285	82.2189
0	1	4	-226.863	-164.45	79.1755
0	2	1	-168.883	-213.281	112.075
0	2	2	-170.82	-219.108	87.7272
0	2	3	-189.19	-202.359	85.3701
0	2	4	-186.441	-195.634	109.298
0	3	1	-176.164	-232.655	35.9574
0	3	2	-193.578	-214.88	33.0637
0	3	3	-191.863	-209.472	57.4255
0	3	4	-173.616	-226.295	60.1111
1	0	1	230.897	-139.777	119.792
1	0	2	238.179	-140.208	95.7643
1	0	3	224.273	-160.624	92.1095
1	0	4	216.012	-159.499	115.685
1	1	1	254.975	-142.182	44.7135
1	1	2	239.949	-161.776	40.4868
1	1	3	233.113	-161.507	64.5466
1	1	4	247.092	-141.212	68.5307
1	2	1	208.961	-204.751	31.961
1	2	2	200.893	-203.685	55.7156
1	2	3	216.249	-184.438	59.8729
1	2	4	223.382	-184.654	35.9064
1	3	1	184.884	-202.346	107.039
1	3	2	199.122	-182.117	110.993
1	3	3	207.409	-183.556	87.4358
1	3	4	192.302	-202.941	83.0609
2	0	1	-218.336	146.79	99.6662
2	0	2	-220.54	152.349	75.2784
2	0	3	-203.792	170.65	78.1263
2	0	4	-200.63	164.338	102.115
2	1	1	-226.38	165.396	23.4338
2	1	2	-208.529	182.817	25.7669
2	1	3	-206.745	177.48	50.1395
2	1	4	-223.616	159.254	47.6202
2	2	1	-171.439	221.209	31.2581
2	2	2	-168.494	214.955	55.3978
2	2	3	-186.609	197.935	53.007
2	2	4	-188.707	203.25	28.6623
2	3	1	-163.395	202.603	107.49
2	3	2	-180.504	184.487	104.909
2	3	3	-183.656	191.105	80.9938
2	3	4	-165.722	208.334	83.1576
3	0	1	222.459	115.455	35.8956
3	0	2	213.349	115.838	59.2917
3	0	3	200.146	136.259	53.6178
3	0	4	208.207	135.183	29.971
3	1	1	195.034	117.708	109.821
3	1	2	180.597	137.308	103.904
3	1	3	190.078	137.8	80.7577
3	1	4	203.541	117.504	86.2182
3	2	1	150.942	180.295	91.556
3	2	2	159.265	179.278	67.8871
3	2	3	173.918	160.025	74.0635
3	2	4	164.729	160.193	97.3195
3	3	1	178.367	178.041	17.6301
3	3	2	192.016	157.807	23.2745
3	3	3	183.986	159.197	46.9236
3	3	4	169.394	178.588	41.0723
